x,y,SPEED_MAX_GUST_FLAG,MEAN_TEMPERATURE,TOTAL_PRECIPITATION_FLAG,SPEED_MAX_GUST,MAX_TEMPERATURE_FLAG,DIRECTION_MAX_GUST,MAX_REL_HUMIDITY,MEAN_TEMPERATURE_FLAG,CLIMATE_IDENTIFIER,DIRECTION_MAX_GUST_FLAG,TOTAL_RAIN,PROVINCE_CODE,MAX_REL_HUMIDITY_FLAG,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,LOCAL_MONTH,LOCAL_DAY,MIN_REL_HUMIDITY,TOTAL_RAIN_FLAG,SNOW_ON_GROUND,MAX_TEMPERATURE,LOCAL_YEAR,SNOW_ON_GROUND_FLAG,ID,HEATING_DEGREE_DAYS_FLAG,TOTAL_SNOW,MIN_REL_HUMIDITY_FLAG,COOLING_DEGREE_DAYS,MIN_TEMPERATURE_FLAG,STATION_NAME,MIN_TEMPERATURE,TOTAL_PRECIPITATION,TOTAL_SNOW_FLAG,LOCAL_DATE
-110.72083333333333,50.01888888888889,,10.8,,44,,,,,3034479,M,,AB,,,7.2,9,23,,M,,19.9,2010,,3034479.2010.9.23,,,,0,,MEDICINE HAT,1.7,0,M,2010-09-23 00:00:00
-110.72083333333333,50.01888888888889,,13.1,,41,,,,,3034479,M,,AB,,,4.9,9,24,,M,,20.3,2010,,3034479.2010.9.24,,,,0,,MEDICINE HAT,5.8,0,M,2010-09-24 00:00:00
-110.72083333333333,50.01888888888889,,16.4,,63,,,,,3034479,M,,AB,,,1.6,9,25,,M,,26.4,2010,,3034479.2010.9.25,,,,0,,MEDICINE HAT,6.3,0,M,2010-09-25 00:00:00
-110.72083333333333,50.01888888888889,,18.9,,72,,,,E,3034479,M,,AB,,E,0,9,26,,M,,26.6,2010,,3034479.2010.9.26,E,,,0.9,E,MEDICINE HAT,11.1,0,M,2010-09-26 00:00:00
-110.72083333333333,50.01888888888889,,15.8,,54,,,,,3034479,M,,AB,,,2.2,9,27,,M,,26.9,2010,,3034479.2010.9.27,,,,0,,MEDICINE HAT,4.7,0,M,2010-09-27 00:00:00
-110.72083333333333,50.01888888888889,,12.6,,0,,0,,,3034479,,,AB,,,5.4,9,29,,M,,20.8,2010,,3034479.2010.9.29,,,,0,,MEDICINE HAT,4.4,0,M,2010-09-29 00:00:00
-110.72083333333333,50.01888888888889,,12.4,,0,,0,,,3034479,,,AB,,,5.6,9,30,,M,,21.6,2010,,3034479.2010.9.30,,,,0,,MEDICINE HAT,3.2,0,M,2010-09-30 00:00:00
-110.72083333333333,50.01888888888889,,10.2,,0,,0,,,3034479,,,AB,,,7.8,10,1,,M,,21.2,2010,,3034479.2010.10.1,,,,0,,MEDICINE HAT,-0.8,0,M,2010-10-01 00:00:00
-110.72083333333333,50.01888888888889,,19.2,,0,,0,,,3034479,,,AB,,,0,10,2,,M,,26.7,2010,,3034479.2010.10.2,,,,1.2,,MEDICINE HAT,11.6,0,M,2010-10-02 00:00:00
-110.72083333333333,50.01888888888889,M,14.9,E,,E,,,E,3034479,M,,AB,,E,3.1,10,3,,M,,22.4,2010,,3034479.2010.10.3,E,,,0,E,MEDICINE HAT,7.3,0,M,2010-10-03 00:00:00
-110.72083333333333,50.01888888888889,,14.3,,0,,0,,,3034479,,,AB,,,3.7,10,4,,M,,23.4,2010,,3034479.2010.10.4,,,,0,,MEDICINE HAT,5.2,0,M,2010-10-04 00:00:00
-110.72083333333333,50.01888888888889,,10.3,,0,,0,,,3034479,,,AB,,,7.7,10,5,,M,,15.9,2010,,3034479.2010.10.5,,,,0,,MEDICINE HAT,4.6,5.3,M,2010-10-05 00:00:00
-110.72083333333333,50.01888888888889,,13.6,,0,,0,,,3034479,,,AB,,,4.4,10,6,,M,,22,2010,,3034479.2010.10.6,,,,0,,MEDICINE HAT,5.1,0,M,2010-10-06 00:00:00
-110.72083333333333,50.01888888888889,,,,0,M,0,,M,3034479,,,AB,,M,,10,7,,M,,,2010,,3034479.2010.10.7,M,,,,E,MEDICINE HAT,7,0,M,2010-10-07 00:00:00
-110.72083333333333,50.01888888888889,,16.6,,0,,0,,,3034479,,,AB,,,1.4,10,8,,M,,24.3,2010,,3034479.2010.10.8,,,,0,,MEDICINE HAT,8.9,0,M,2010-10-08 00:00:00
-110.72083333333333,50.01888888888889,,14.2,,0,,0,,,3034479,,,AB,,,3.8,10,9,,M,,23.8,2010,,3034479.2010.10.9,,,,0,,MEDICINE HAT,4.6,0,M,2010-10-09 00:00:00
